layer,points,mean,std,min,max,used
central_points,2673,1.8373859129567452e-06,5.502155049066535e-05,0.0,0.0022812809354775254,0
central_points,824,9.327541217605974e-07,1.629595094129696e-05,0.0,0.0003490648758077697,0
central_points,2584,9.825150998296367e-06,0.00022647470251067564,0.0,0.006107194843934849,1
central_points,1852,4.134429399797946e-06,7.014464969192336e-05,0.0,0.0017743048600054045,1
central_points,238,1.2714209941501662e-05,0.00012368770345623346,0.0,0.001652665012619181,1
central_points,10764,3.551271542780914e-07,1.4884075693937002e-05,0.0,0.0008793853943416252,1
central_points,234,0.00043664139800231625,0.0013770228024374317,0.0,0.015300198884332305,1
central_points,5231,3.7473325345634415e-07,1.4641755730321763e-05,0.0,0.0008940581285514781,1
central_points,228,2.439283083805019e-05,0.00016864092078684026,0.0,0.0013206000139409646,1
central_points,162,0.0006403451923451187,0.002304630297834884,0.0,0.01715446594089997,1
central_points,53,0.0008120599697150907,0.00168944621276426,0.0,0.009774163552308562,1
central_points,84,0.001035930250492405,0.002738376327285681,0.0,0.01693684435124186,1
central_points,288,7.70095024192661e-05,0.000528499725678062,0.0,0.007626231937095329,1
central_points,6696,3.23111235453812e-07,1.2561736832759155e-05,0.0,0.0006626747322115989,0
central_points,439,5.056701337461649e-06,6.650614919375237e-05,0.0,0.001126608697664011,0
central_points,5180,2.2274424397374334e-07,9.65972430748174e-06,0.0,0.0005474095404451873,0
central_points,120,0.0006297636408597928,0.0030959063465186027,0.0,0.022175298989610903,0
central_points,39,0.0009248655106049011,0.0016962735102020845,0.0,0.008575212126045385,0
central_points,3974,4.651936151666095e-07,1.7177847477541145e-05,0.0,0.000767201707105869,0
central_points,1387,0.00010436141652389895,0.0012954923623486037,0.0,0.032416716176688565,0
central_points,135,0.0015879895750227253,0.006194220701397119,0.0,0.04677745479261253,0
central_points,258,2.2846648851066037e-06,2.3101221290499218e-05,0.0,0.00031277488004932685,1
central_points,567,4.031071696351829e-05,0.0004535039869447354,0.0,0.009247665726916487,1
central_points,24,0.0012585209490662077,0.0025149709339200074,0.0,0.008740573062442886,1
central_points,205,0.0002243070982407812,0.0011838895341987027,0.0,0.012468870800229456,1
central_points,62,0.0036849639479132426,0.012653461377138154,0.0,0.09136561708952418,0
central_points,65,0.002563763717126453,0.01105646200179665,0.0,0.06813509067695661,0
central_points,833,2.3758559248767916e-05,0.00045755708786829325,0.0,0.009336218694828702,0
central_points,494,0.00047052134840954183,0.002087378376562532,0.0,0.022842677169876147,0
