file,template,cluster_id,how,direction,shift_z,total,inliers,inlier_ratio,rmse_inliers,rmse_all,max_z_diff,corr_xy,corr_xy_upper,corr_yz,max_corr,icp_rmse,icp_fitness,side_a,side_b,not_same_side,time,distance
PunkteSeiteVieleAusreisser,,0,My,None,0,475,457.0,0.9621052631578947,0.003956993906456929,0.00450255213857004,0.0004698746224614525,5.873683322185212e-17,0.09820764293618778,8.796964160995769e-17,0.1570725266488344,,,-0.8238341968911918,-0.6836158192090396,0,0.0006721019744873047,
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=tem,0,478,450.0,0.9414225941422594,0.005581597165233315,0.006092844286909033,0.0007879136199050105,0.09114824507473424,0.016961652344803825,0.04817415988196547,0.09114824507473424,0.013179407440990982,0.4982236842105263,,,,0.1438140869140625,0.005174680977032874
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=tem,0,475,458.0,0.9642105263157895,0.005307688646570296,0.005703170892787356,0.0034562984965660418,0.19158485960939312,0.07800130647808282,0.07201391352573475,0.19158485960939312,0.012964981985954136,0.4754605263157895,,,,0.050551652908325195,0.04862517863852653
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=pcl,0,483,468.0,0.968944099378882,0.0036611440637463934,0.004155230113973951,0.004991420823529484,0.15591422129637977,0.04273406390124183,0.08647231061403952,0.15591422129637977,0.005089881531831881,0.5307612095933264,,,,0.007119417190551758,
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=pcl,0,476,461.0,0.9684873949579832,0.0036498396561012694,0.004126245574371722,0.005360553596149738,0.1571607399417366,0.04399002034394844,0.07986599600236559,0.1571607399417366,0.005185601702808821,0.5286757038581856,,,,0.020131587982177734,
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=tem,0.03,481,455.0,0.9459459459459459,0.005627976975493845,0.006106295110225118,0.0009592214384189779,0.10638251478065013,0.0028256046073384714,0.0465816828457476,0.10638251478065013,0.013156885450953792,0.4976973684210526,,,,0.04330182075500488,0.005340104663135672
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=tem,0.03,476,460.0,0.9663865546218487,0.005337101273816336,0.005713397561550678,0.0031329591809299492,0.21652361541953313,0.10215113734103466,0.076066247806492,0.21652361541953313,0.012988850224300718,0.4763157894736842,,,,0.06400465965270996,0.040790589030039154
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=pcl,0.03,482,468.0,0.970954356846473,0.003658400562759603,0.0041090511931095594,0.005008017437628867,0.16334898132040276,0.049786815201771153,0.08542139243325891,0.16334898132040276,0.005003788341338945,0.529718456725756,,,,0.017613887786865234,
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=pcl,0.03,476,461.0,0.9684873949579832,0.0036498396561013514,0.0041262455743717825,0.005360553596149682,0.15716073994173416,0.04399002034394621,0.07986599600236446,0.15716073994173416,0.005185601702808824,0.5286757038581856,,,,0.020952701568603516,
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=tem,0,480,462.0,0.9625,0.0049405357344229454,0.005371090976551821,0.0033895377981229963,0.09271313297831973,0.01563054239572447,0.07514299379445062,0.09271313297831973,0.01293821449144596,0.5340752954108271,,,,0.06884336471557617,0.004091860820655947
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=tem,0,472,53.0,0.11228813559322035,0.006424421716655617,0.03231734679332276,0.03831937909312172,0.09420152870474559,0.231049507834029,0.43542552562942516,0.43542552562942516,0.014600970986346582,0.14155674635888982,,,,0.09823894500732422,0.04916970623609984
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=pcl,0,483,467.0,0.9668737060041408,0.0036548004924281895,0.004166103674935742,0.004515903089388484,0.10857969117372974,0.004778267622702155,0.10430792325156209,0.10857969117372974,0.004995456756388352,0.5307612095933264,,,,0.01679372787475586,
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=pcl,0,482,469.0,0.9730290456431535,0.0036126425469362464,0.004040597960640802,0.005173258907849074,0.12433817568243516,0.013055153766678157,0.08541675577802467,0.12433817568243516,0.0052749012106943025,0.5401459854014599,,,,0.04648876190185547,
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=tem,0.03,483,464.0,0.9606625258799172,0.0049335071644294,0.005383992898280929,0.0031987016298428914,0.11222145617051696,0.002531988382806458,0.07247261884065315,0.11222145617051696,0.012936248919246093,0.5348309975267931,,,,0.06940078735351562,0.004601268212909331
