file,template,cluster_id,how,direction,shift_z,total,inliers,inlier_ratio,rmse_inliers,rmse_all,max_z_diff,corr_xy,corr_xy_upper,corr_yz,max_corr,icp_rmse,icp_fitness,side_a,side_b,not_same_side,time,distance
PunkteSeiteVieleAusreisser,,0,My,None,0,475,457.0,0.9621052631578947,0.003956993906456929,0.00450255213857004,0.0004698746224614525,5.873683322185212e-17,0.09820764293618778,8.796964160995769e-17,0.1570725266488344,,,-0.8238341968911918,-0.6836158192090396,0,0.004008769989013672,
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=tem,0,478,450.0,0.9414225941422594,0.005581597165233438,0.006092844286909173,0.0007879136199039627,0.09114824507473376,0.016961652344804318,0.04817415988196589,0.09114824507473376,0.013179407440990984,0.4982236842105263,,,,0.4084765911102295,0.005174680977033127
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=tem,0,475,458.0,0.9642105263157895,0.005307688646570299,0.005703170892787359,0.0034562984965660556,0.19158485960939184,0.07800130647808162,0.07201391352573451,0.19158485960939184,0.012964981985954142,0.4754605263157895,,,,0.9817306995391846,0.04862517863852653
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=pcl,0,483,468.0,0.968944099378882,0.003661144063746292,0.004155230113973865,0.004991420823529512,0.15591422129638044,0.04273406390124252,0.08647231061403948,0.15591422129638044,0.005089881531831792,0.5307612095933264,,,,0.03592061996459961,
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=pcl,0,476,461.0,0.9684873949579832,0.0036498396561012755,0.004126245574371726,0.005360553596149738,0.1571607399417378,0.04399002034394965,0.07986599600236549,0.1571607399417378,0.005185601702808827,0.5286757038581856,,,,0.0482943058013916,
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=tem,0.03,481,455.0,0.9459459459459459,0.00562797697549998,0.006106295110230695,0.0009592214384167574,0.10638251478065008,0.0028256046073384944,0.04658168284574657,0.10638251478065008,0.013156885450953773,0.4976973684210526,,,,0.08998227119445801,0.005340104663148626
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=tem,0.03,476,460.0,0.9663865546218487,0.005337101273816336,0.005713397561550677,0.0031329591809299423,0.21652361541953272,0.1021511373410343,0.07606624780649185,0.21652361541953272,0.012988850224300725,0.4763157894736842,,,,0.05856633186340332,0.040790589030039154
PunkteSeiteVieleAusreisser,0,0,ICP to_point,src=pcl,0.03,482,468.0,0.970954356846473,0.0036584005627597884,0.004109051193109715,0.0050080174376288394,0.16334898132040257,0.04978681520177086,0.08542139243325886,0.16334898132040257,0.005003788341339047,0.529718456725756,,,,0.09721493721008301,
PunkteSeiteVieleAusreisser,0,0,ICP to_plane,src=pcl,0.03,476,461.0,0.9684873949579832,0.0036498396561013514,0.004126245574371781,0.005360553596149689,0.15716073994173294,0.043990020343945044,0.07986599600236453,0.15716073994173294,0.005185601702808827,0.5286757038581856,,,,0.033447980880737305,
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=tem,0,480,462.0,0.9625,0.004940535734419327,0.005371090976548465,0.003389537798122705,0.09271313297831899,0.015630542395725224,0.07514299379445051,0.09271313297831899,0.01293821449144596,0.5340752954108271,,,,0.17386198043823242,0.004091860820648743
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=tem,0,472,53.0,0.11228813559322035,0.006424421716655629,0.032317346793322765,0.03831937909312174,0.09420152870474427,0.23104950783402806,0.4354255256294253,0.4354255256294253,0.014600970986346579,0.14155674635888982,,,,0.29805779457092285,0.04916970623609984
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=pcl,0,483,467.0,0.9668737060041408,0.003654800492428128,0.004166103674935697,0.004515903089388484,0.10857969117372793,0.004778267622703818,0.10430792325156206,0.10857969117372793,0.004995456756388274,0.5307612095933264,,,,0.02741837501525879,
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=pcl,0,482,469.0,0.9730290456431535,0.0036126425469362455,0.004040597960640801,0.005173258907849081,0.12433817568243516,0.013055153766678157,0.08541675577802474,0.12433817568243516,0.005274901210694311,0.5401459854014599,,,,0.0869603157043457,
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=tem,0.03,483,464.0,0.9606625258799172,0.004933507164435542,0.005383992898286627,0.003198701629841025,0.11222145617051561,0.002531988382805187,0.07247261884065324,0.11222145617051561,0.012936248919246093,0.5348309975267931,,,,0.2124340534210205,0.004601268212920819
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=tem,0.03,484,468.0,0.9669421487603306,0.004634813908260614,0.005042962191272727,0.0037882249144804286,0.20770957637859974,0.09227444593961949,0.08978408653407845,0.20770957637859974,0.012684344412135406,0.5191673536685902,,,,0.16468524932861328,0.027092483590740624
PunkteSeiteVieleAusreisser,1,0,ICP to_point,src=pcl,0.03,484,468.0,0.9669421487603306,0.0036352867803146733,0.0041613623175097226,0.004658691625037362,0.12414362150205842,0.00967770675099035,0.10986920850116615,0.12414362150205842,0.0051582345628536285,0.5338894681960376,,,,0.023860931396484375,
PunkteSeiteVieleAusreisser,1,0,ICP to_plane,src=pcl,0.03,482,471.0,0.9771784232365145,0.0034606100031066354,0.0038527835972956993,0.004989722215361453,0.13356410437364383,0.0228108774880893,0.07883055845571708,0.13356410437364383,0.005070362531345442,0.5370177267987487,,,,0.10480856895446777,
